title,price,mileage,location
2017 Ford Fiesta ST,"$19,999","26,389 mi.","South Salt Lake, UT (372 mi.)"
2019 Ford Fiesta SE,"$6,980","95,656 mi.","Villa Park, IL (899 mi.)"
2016 Ford Fiesta ST,"$10,000","82,397 mi.","Sarasota, FL (1,545 mi.)"
2019 Ford Fiesta S,"$9,995","53,797 mi.","Avon, MA (1,767 mi.)"
2011 Ford Fiesta SEL,"$4,490","144,738 mi.","Ann Arbor, MI (1,114 mi.)"
2019 Ford Fiesta SE,"$8,499","94,205 mi.","Fort Wayne, IN (1,043 mi.)"
2019 Ford Fiesta SE,"$6,500","100,797 mi.","Fort Myers, FL (1,615 mi.)"
2015 Ford Fiesta SE,"$12,998","56,996 mi.","Glen Allen, VA (1,478 mi.)"
2019 Ford Fiesta S,"$13,195","91,814 mi.","Phoenix, AZ (586 mi.)"
2017 Ford Fiesta Titanium,"$8,491","75,344 mi.","Mesa, AZ (582 mi.)"
2018 Ford Fiesta SE,"$13,998","29,911 mi.","Tampa, FL (1,516 mi.)"
2019 Ford Fiesta SE,"$11,998","106,493 mi.","Tinley Park, IL (908 mi.)"
2016 Ford Fiesta SE,"$5,995","111,444 mi.","Sandy, UT (370 mi.)"
2014 Ford Fiesta S,"$5,900","103,327 mi.","Orlando, FL (1,546 mi.)"
2013 Ford Fiesta S,"$5,891","80,139 mi.","Houston, TX (865 mi.)"
2019 Ford Fiesta SE,"$11,998","95,975 mi.","Fort Worth, TX (650 mi.)"
2017 Ford Fiesta SE,"$6,600","111,121 mi.","Rochester, MN (706 mi.)"
2016 Ford Fiesta SE,"$5,000","146,626 mi.","Virginia beach, VA (1,576 mi.)"
2015 Ford Fiesta SE,"$4,995","105,532 mi.","Falls Church, VA (1,481 mi.)"
2013 Ford Fiesta SE,"$6,999","78,263 mi.","Frankfort, IN (976 mi.)"
2016 Ford Fiesta S,"$8,995","37,817 mi.","Portland, OR (981 mi.)"
2016 Ford Fiesta ST,"$15,998","89,126 mi.","Woodbridge, VA (1,478 mi.)"
2016 Ford Fiesta SE,"$11,599","75,325 mi.","Fayetteville, NC (1,458 mi.)"
